Temp./°C;C1_S3;C1_S5;C2_S3;C2_S5;C3_S3;C3_S5;C4_S3;C4_S5;C5_S3;C5_S5;C6_S3;C6_S5;C7_S3;C7_S5;C8_S3;C8_S5;C9_S3;C9_S5;C10_S3;C10_S5
160.34483;     -0.39617;      0.39703;     -0.38683;0.36615;     -0.39476;0.38947;     -0.37617;0.35826;     -0.39677;0.38251;     -0.41744;0.41645;     -0.40840;0.36099;     -0.43322;0.41245;     -0.43626;0.44057;     -0.42059;0.42109
161.34483;     -0.39644;      0.39746;     -0.38767;0.36656;     -0.39550;0.38994;     -0.37700;0.35861;     -0.39764;0.3829;     -0.41821;0.41691;     -0.40961;0.36134;     -0.43399;0.41295;     -0.43699;0.44111;     -0.42130;0.42157
162.34483;     -0.39732;      0.39767;     -0.38850;0.36696;     -0.39636;0.39046;     -0.37784;0.35901;     -0.39851;0.38331;     -0.41907;0.41738;     -0.41099;0.36167;     -0.43479;0.41346;     -0.43777;0.44165;     -0.42197;0.42201
163.34483;     -0.39862;      0.39818;     -0.38938;0.36737;     -0.39723;0.39098;     -0.37874;0.35941;     -0.39936;0.38376;     -0.41994;0.41786;     -0.41244;0.362;     -0.43567;0.41398;     -0.43855;0.4422;     -0.42275;0.42246
164.34483;     -0.39950;      0.39861;     -0.39027;0.36779;     -0.39812;0.3915;     -0.37972;0.35982;     -0.40025;0.38422;     -0.42093;0.41838;     -0.41404;0.36235;     -0.43663;0.41454;     -0.43940;0.4427;     -0.42353;0.42293
165.34483;     -0.40011;      0.39928;     -0.39116;0.36824;     -0.39902;0.39203;     -0.38067;0.36023;     -0.40107;0.38472;     -0.42198;0.41889;     -0.41597;0.3628;     -0.43773;0.41507;     -0.44040;0.44323;     -0.42439;0.42344
166.34483;     -0.40123;      0.39998;     -0.39209;0.36867;     -0.39993;0.39255;     -0.38167;0.3606;     -0.40187;0.38523;     -0.42308;0.41943;     -0.41798;0.36326;     -0.43902;0.4156;     -0.44143;0.44374;     -0.42536;0.42394
167.34483;     -0.40201;      0.40048;     -0.39302;0.36911;     -0.40082;0.39305;     -0.38265;0.36089;     -0.40260;0.38572;     -0.42438;0.41998;     -0.42024;0.36367;     -0.44053;0.4161;     -0.44265;0.44423;     -0.42636;0.42445
168.34483;     -0.40303;      0.40096;     -0.39395;0.36951;     -0.40167;0.39355;     -0.38362;0.36119;     -0.40324;0.38622;     -0.42578;0.4205;     -0.42312;0.36406;     -0.44209;0.41657;     -0.44397;0.44476;     -0.42737;0.42493
169.34483;     -0.40428;      0.40132;     -0.39483;0.36987;     -0.40248;0.39405;     -0.38464;0.36158;     -0.40386;0.38668;     -0.42734;0.42105;     -0.42597;0.36433;     -0.44393;0.41706;     -0.44554;0.4453;     -0.42877;0.42541
170.34483;     -0.40502;      0.40186;     -0.39564;0.37026;     -0.40321;0.39455;     -0.38562;0.362;     -0.40433;0.38715;     -0.42916;0.42159;     -0.42886;0.36458;     -0.44618;0.41753;     -0.44746;0.4459;     -0.43044;0.42587
